Step #,Description,Instruction
1-1-1-1,"Place a point on a number line: target 3, range −5 to 5","Click 3 on this number line."
1-1-1-2,"Place a point on a number line: target −3, range −5 to 5","Put −3 on the number line."
1-1-1-3,"Place a point on a number line: target −1, range −5 to 5","By the way, we read ""-3"" as ""negative 3"". So now plot negative 1."
1-1-1-4,"Pick between two points on a number line: −3 and −5","Everything to the left of 0 is a negative number. The further left you go, the more negative. Which is more negative, −3 or −5?"
1-1-1-5,"Place a point on a number line: target 4, range −5 to 5","Numbers to the right of 0 are positive. You can write ""+4"" or just ""4"". Plot +4."
1-1-1-6,"Pick between two points on a number line: 2 and 5","The further right you go, the more positive the number. Which is more positive, 2 or 5?"
1-1-1-7,"Place a point on a number line: target −3, range −5 to 5","Plot −3."
1-1-1-8,"Drag a point from −3 by +2 to −1, range −5 to 5","Add 2 to this point. Move it to where it should be."
1-1-1-9,"Pick between two points on a number line: −2 and 2","When you add, you make the number greater. Greater is always to the right. Which of these is greater?"
1-1-1-10,"Pick between two points on a number line: −5 and −2","Which of these is greater?"
1-1-2-1,"Place a point on a number line: target −3, range −5 to 5","Plot −3."
1-1-2-2,"Drag a point from −3 by +2 to −1, range −5 to 5","Now add 2 to the point. Move it to where it should be."
1-1-2-3,"Type the answer to −3 + 2 = ?, number line shows ghost at −3 and point at −1","What does −3 + 2 equal?"
1-1-2-4,"Multiple choice with arrow buttons: left or right","So to add a positive number like +2, you move RIGHT on the number line. Which way do you move to SUBTRACT +2?"
1-1-2-5,"Place a point on a number line: target 2, equation label 2 − 6 =","First, put 2 on the number line."
1-1-2-6,"Drag a point from 2 by −6 to −4, equation label 2 − 6 =","Now subtract 6. Move the point to the answer."
1-1-2-7,"Type the answer to 2 − 6 = ?, number line shows ghost at 2 and point at −4","What does 2 − 6 equal?"
